Country Name,Country Code,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Germany,DEU,,,,,,,,,,,,,,,,,,,,,,99.48252106,101.0082397,105.6937332,105.6930084,104.8867035,104.4343414,104.1880112,98.98327637,99.10620117,99.84454346,100.6418304,101.6411896,102.0321426,102.3894577,102.5061035,103.1978989,102.510788,103.5865936,103.3261795,103.9837036,103.6433105,102.8838806,102.4776993,102.429863,102.6653976,
Djibouti,DJI,,6.19715023,7.725560188,6.561880112,6.98029995,7.192369938,6.019800186,,,7.455550194,7.944009781,8.420410156,8.83220005,9.296349525,9.78001976,10.0105896,10.31497002,11.04547977,10.48116016,10.68052006,10.24790955,10.00693989,10.15888023,9.605999947,10.06210995,10.94614983,11.38698006,12.69019985,,14.26665974,14.05749035,16.03000069,16.7560997,,20.22442055,22.48245049,22.30764008,25.78524017,30.64455032,33.4876709,,39.36888885,43.06343079,45.05786133,46.35290909,47.06901932,48.26956177
Dominica,DMA,,,,71.41015625,70.76956177,69.70822906,71.98179626,71.03456116,66.68068695,68.3091507,,,,,77.13178253,,83.53167725,74.76590729,,,70.01367188,,,,,,,,,100.6070938,105.6606522,107.1572266,110.3427963,114.2772598,109.7460709,107.3520966,104.399437,102.8881912,100.5641174,100.6277008,96.93409729,96.729599,,,,100.4878922,
Denmark,DNK,,93.00704956,,,,,,,96.26468658,98.71676636,102.3025284,104.8265533,104.7336502,104.6175613,103.3008881,103.5892105,105.4641571,106.8827896,107.7751999,109.2020721,109.5280228,109.6377792,110.258812,111.6390915,114.4035568,117.9424591,120.569809,,123.5293274,125.1534119,127.0542984,131.0371094,126.3215332,126.4657669,123.6582489,124.1809235,120.0791016,118.8251038,117.8997574,118.0346375,119.5693893,122.8011932,123.6825104,129.7790833,129.8680267,130.8247375,
Dominican Republic,DOM,,19.97775078,21.43165016,23.6619091,24.96439934,26.11215019,34.43883133,35.98424149,37.48152924,39.16241074,40.57587814,41.97563171,44.00149918,,54.1533699,,50.81182098,,,,,,,,42.64493179,43.99988174,,,54.17261124,55.78710175,59.03738022,,67.1963501,,68.19978333,69.74497986,,78.08254242,76.7469635,78.57840729,76.01545715,75.62783051,76.38874054,77.59657288,78.35604095,77.82071686,
Algeria,DZA,,10.03635979,12.07172012,13.52412033,14.74798012,16.02827072,18.39504051,21.51011086,25.32871056,27.99378014,30.06514931,32.18463135,35.23464966,38.52775955,41.89046097,45.0865097,49.42613983,51.91698837,52.97700119,59.65122986,59.12105179,57.57352066,57.27878189,57.39974976,58.40697861,58.33716965,58.63819885,59.1579895,,65.27889252,64.72483063,68.4109726,71.5598526,73.75566101,77.21340179,78.78222656,79.7915802,70.28121185,76.75585175,93.07003021,97.17192078,99.86019135,,,,,
East Asia & Pacific (excluding high income),EAP,28.54760933,35.02299118,40.03017044,44.0464592,42.07646179,42.92211914,48.31161118,50.4934082,49.35235977,46.64295959,42.08283997,39.12984848,34.99919128,33.30286026,32.93196869,34.27556992,35.77827835,37.97032166,39.24039078,39.47806168,39.25777054,40.94997025,43.3903389,45.66875839,47.35226822,50.72909927,54.44824982,57.07030106,58.51182175,59.5177002,59.66810989,59.79143143,60.30263138,61.97980881,63.67501831,64.82160187,66.94109344,70.84326172,73.53475952,76.7915802,79.81958771,82.78955078,84.82196808,87.49381256,86.46098328,,
Early-demographic dividend,EAR,25.09506989,25.19026947,25.95751953,26.65859985,27.21146965,27.98736954,28.64159966,29.52281952,30.28816986,31.19850922,32.30276108,33.24855042,34.69400024,36.49110031,37.60892868,38.73651123,39.79029846,40.42781067,40.79356003,41.09326172,42.16165161,43.44324875,44.75841904,46.12329865,46.97903061,47.63645172,48.21472931,49.23945999,49.41764069,49.46434021,50.80086899,51.65507126,53.30513,55.0185318,56.22140884,57.30382156,58.65671921,60.64656067,62.17961884,62.6373291,64.87670898,67.16374969,69.00302124,69.97885132,70.37068176,,
East Asia & Pacific,EAS,34.56274033,40.06082153,44.54035187,48.19908905,46.65734863,47.49290085,52.28408051,53.89686966,52.600811,50.16997147,46.02859879,43.44672012,39.66204071,38.13916016,37.90087128,39.26119995,40.82410812,42.97166824,44.19099045,44.49785995,44.3628006,46.04253006,48.32609177,50.45386887,52.19054031,55.35480881,58.77170181,61.09994888,62.19598007,62.96358109,62.96728897,62.83182907,63.14490891,64.61106873,66.10997772,67.22396851,69.1570282,72.90480804,75.50861359,78.6416626,81.50263214,84.32813263,86.33956146,88.86734772,87.93482208,,
Europe & Central Asia (excluding high income),ECA,85.18144226,85.19078064,85.78250885,86.35810089,86.69513702,87.14356232,87.4196167,87.73486328,87.92121124,87.83892822,88.05496979,87.88050079,88.14134979,88.43895721,88.8264389,89.39994049,90.10498047,90.22309113,90.29161835,89.93222046,89.22801208,87.6445694,86.17118073,84.74185181,83.73635864,84.39395905,84.29872131,84.42048645,85.45717621,86.82303619,87.43932343,89.64295197,90.97454071,91.82260132,89.0821228,86.89846802,88.06999207,89.24423218,89.32610321,88.2203064,90.31954193,92.28066254,92.93562317,97.68572235,98.39228821,,
