Country.Name,Country.Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Indonesia,IDN,55.0976181,55.55807114,57.18510056,60.16173172,61.86944962,60.13283157,62.58937836,70.55848694,69.72920227,74.73399353,76.54019165,79.21021271,80.4074173,82.48970795,82.46869659,85.84207916,
IDA only,IDX,30.23055077,31.26864052,32.57674026,33.36352921,34.03841019,34.76913834,36.14154053,37.27819824,38.76453018,40.52922058,41.99908829,42.96126175,44.1688385,45.31393051,45.76176834,,
India,IND,45.06362152,45.34122849,47.26625824,49.82318115,51.57170105,54.17274094,55.0823288,57.47719955,60.55574036,59.79393005,63.29093933,66.42167664,69.16414642,68.89720917,74.2754364,73.96920013,
Ireland,IRL,99.43411255,98.84488678,100.9414673,104.0160065,107.5325775,109.5394897,110.6882172,112.8895111,114.9061584,118.9197769,123.4626083,122.0931396,126.0933304,,127.2033005,127.4819183,
"Iran, Islamic Rep.",IRN,78.58412933,77.93213654,77.68005371,76.78079224,76.30233002,75.84529114,77.37796021,77.51429749,81.00769806,82.83158112,81.95504761,85.11794281,87.64283752,86.62177277,88.4066391,89.16723633,
Iraq,IRQ,37.46913147,37.56386185,,42.18260956,47.61510849,,,53.45965958,,,,,,,,,
Iceland,ISL,107.4035721,107.5196304,111.754097,115.1211624,108.1706924,109.1126404,109.3971863,108.8718872,109.0708389,107.9430008,109.289772,108.5537262,111.1702576,118.5564117,,,
Israel,ISR,103.0032196,103.9625015,106.0304337,105.4233322,104.5067978,104.7361221,104.8875427,104.2685165,102.8816223,101.9916916,102.0558395,101.6979904,101.0639877,101.5317612,101.8636475,102.4788132,
Italy,ITA,92.48458099,95.38363647,97.28629303,98.18097687,98.03749084,98.28961182,99.02320099,99.627388,100.3623886,100.7180862,102.2126999,102.6674881,101.6773911,102.3979874,102.624939,102.9024582,
Jamaica,JAM,86.37068939,85.53125,85.53404236,85.58383179,90.86612701,90.57089233,,93.27897644,94.55445862,95.56256104,92.82521057,92.71890259,,83.28907013,83.0246582,82.10732269,
Jordan,JOR,86.02574921,,89.80980682,90.86073303,90.72077942,91.01516724,92.58789063,93.07588196,93.95909882,,88.51937103,86.59844208,84.29428864,82.63047791,82.44554138,,
Japan,JPN,101.8340988,102.5308609,102.6753464,101.9482422,101.2452698,100.9985275,100.9808121,100.4190903,100.6429672,100.92659,101.6094971,101.7654266,101.8072586,101.9199829,101.7456131,,
Kazakhstan,KAZ,93.39524841,,,,,,99.37904358,,,,97.73449707,99.08995819,101.2945709,101.8687668,105.4827194,109.1081009,112.0078125
Kenya,KEN,39.31182861,40.35633087,40.99544907,43.13816071,47.18852997,47.8987999,50.09878922,52.67341995,59.40621185,60.43181992,,,,,,,
Kyrgyz Republic,KGZ,84.36998749,85.41761017,84.55767822,89.57511902,88.02426147,86.2731781,86.07324219,85.67687988,,85.98184204,86.59747314,86.47207642,87.40943146,88.33309937,90.78166962,92.05046844,
Cambodia,KHM,17.23127937,18.86819077,22.84939957,27.40468979,31.2058506,,39.59194946,42.53393936,45.05133057,,,,,,,,
Kiribati,KIR,63.54838943,77.54058838,82.51357269,88.40860748,88.95459747,89.04173279,87.96795654,88.1139679,87.13609314,,,,,,,,
St. Kitts and Nevis,KNA,105.2074127,95.33039856,91.97396851,88.33799744,84.53540802,86.9536438,,104.6517029,102.1850281,98.61431885,97.51074982,94.48108673,78.80283356,101.2037964,91.51831818,90.3914566,
"Korea, Rep.",KOR,98.39324951,95.18718719,91.86683655,90.00785828,90.40310669,93.22036743,97.30124664,99.40522003,99.18411255,98.36805725,96.07978821,95.7359314,96.1991806,97.73029327,98.45323181,98.88208771,
Kuwait,KWT,98.72479248,98.75341034,,102.4780807,105.0463715,110.4597702,104.7308502,100.4526291,95.48518372,93.37654877,93.50528717,93.3080368,92.52203369,92.54782867,93.60362244,94.97264862,
Latin America & Caribbean (excluding high income),LAC,85.20478821,85.93755341,87.1634903,84.90882111,86.15647125,86.52197266,86.47754669,86.21691895,87.55303192,88.40270233,89.74980164,89.21559143,89.6500473,93.41908264,94.02172089,,
Lao PDR,LAO,34.21492004,36.06710815,38.77561951,41.48044968,43.24050903,43.58848953,42.69124985,43.01335144,43.59355927,44.70475006,46.12401962,44.89794159,47.8338089,51.73796082,57.23596954,61.69723892,
Lebanon,LBN,92.74903107,89.41561127,89.21914673,87.70152283,84.50823212,80.48947144,77.29258728,76.45532227,76.17642975,77.38381958,75.30477905,76.13276672,71.03967285,68.20027161,61.66709137,61.20574951,
Liberia,LBR,35.2045517,,,,,,,,,,,45.15679169,,,37.87348175,37.29980087,
Libya,LBY,,,108.2674713,104.9466095,,94.85523224,101.5634918,,,,,,,,,,
St. Lucia,LCA,73.98441315,74.23941803,73.63768005,74.60363007,73.74027252,77.76380157,82.30950165,88.04277802,93.71488953,95.4548111,95.2089386,94.63983154,91.10656738,88.38510895,86.4571991,85.14270782,
Latin America & Caribbean,LCN,85.31316376,86.08261871,87.33130646,85.24880219,86.48420715,86.86647034,86.83731079,86.52890015,87.77895355,88.53817749,89.83325195,89.28064728,89.65847778,93.51609802,94.09674835,,
Least developed countries: UN classification,LDC,27.85943985,28.95149994,30.26322937,30.89938927,31.37421036,32.0882988,33.45177078,34.51824188,35.82395172,37.68399811,39.21401978,40.16769028,41.3637085,42.54317856,42.93035126,,
Low income,LIC,22.59601974,23.68465996,24.86128044,25.60079956,27.04009056,28.54380035,30.34712982,31.5323391,33.70378876,35.04346085,36.72657013,38.02231979,39.00495911,39.11128998,39.25593185,39.30884933,
Liechtenstein,LIE,,,,111.6638107,110.7614212,,107.0110703,106.3422775,107.5661163,105.6844864,108.8792801,111.4565735,110.3738632,,115.5578308,116.1234436,
Sri Lanka,LKA,,,,,,,,,,,96.93235779,99.11958313,99.64743805,99.72451019,,,
Lower middle income,LMC,46.84365845,47.41553879,48.87239075,50.78419113,52.08776093,53.08475113,54.08882141,56.01807022,57.61027145,58.15459061,60.56135941,62.76477814,64.81925201,65.7060318,67.8562088,68.3248291,
Lesotho,LSO,32.44839859,34.31533051,35.32165146,35.88330078,37.94755936,39.58760071,39.83985138,41.83924866,43.7986412,46.87171173,50.4023819,52.01945114,53.27928925,51.72816086,52.17121124,53.77215958,
Late-demographic dividend,LTE,71.46269226,71.01194763,70.84583282,71.01461792,71.87158966,72.99636841,74.58743286,77.1848526,80.10883331,82.77488708,85.89974213,88.47418213,90.42312622,93.84686279,93.09906006,,
Lithuania,LTU,98.09205627,100.8194885,104.654541,107.3918991,104.7225571,104.1668625,102.499649,101.681839,101.0619125,100.459137,100.9639893,101.1278381,101.4784622,105.4118271,106.8218307,108.2596512,
Luxembourg,LUX,97.0613327,97.23114014,96.25041962,96.10231018,95.45861053,95.3651886,95.90805054,96.72429657,97.51921082,,101.3461685,101.0177307,100.2265701,102.4155884,102.2624588,,
Latvia,LVA,91.09111786,93.39920807,96.20777893,97.8864212,101.1243134,104.0452805,104.2152786,105.8138275,105.5376892,98.11607361,98.34375,98.66374207,98.78890991,110.4813766,115.3598022,119.4924469,
"Macao SAR, China",MAC,82.73757172,86.23339081,91.22628021,96.62650299,102.800499,105.1823883,107.2224274,102.9728622,94.22173309,92.26293945,93.79171753,96.80641174,96.42645264,95.94670868,96.06497192,96.47918701,
Morocco,MAR,38.44923019,40.20542145,42.54951859,44.75016022,48.05408096,49.83874893,52.59931183,55.57926941,57.67380142,60.44446182,62.69213867,65.74992371,69.06295013,,,,
Moldova,MDA,81.59142303,81.46826172,83.44441223,85.07274628,86.88433838,88.06252289,89.32212067,88.5539093,88.23475647,88.59664154,87.98113251,87.71936798,88.19586945,88.33605194,87.32076263,86.10812378,
Madagascar,MDG,,,,,,21.14827919,23.89172935,26.47830963,29.04219055,30.38512039,,36.59524155,38.02759171,,38.43492889,,
Maldives,MDV,51.27350998,61.42076111,62.19046021,69.42807007,69.81939697,,,,,,,,,,,,
Middle East & North Africa,MEA,68.47559357,69.46923065,70.29911041,71.33004761,72.54031372,72.55328369,73.01042175,72.02639771,73.27387238,74.70194244,75.70313263,79.22405243,80.34433746,78.44956207,79.41493225,,
Mexico,MEX,69.91108704,71.46404266,73.81748962,77.30062866,78.55181122,79.23291016,80.90894318,81.81571198,83.25813293,82.57071686,83.1858902,83.52262878,85.09175873,87.0373764,90.54969025,,
Marshall Islands,MHL,,,73.00621033,71.25601196,77.61550903,75.68344879,83.98248291,93.11480713,100.7142868,102.8925629,,,,,,76.61187744,
Middle income,MIC,57.77642822,58.21923065,59.17113113,60.27972031,61.37953949,62.23339081,63.4234314,65.36853027,67.2485733,68.39575195,70.73664856,72.7770462,74.44698334,76.17312622,77.63748932,77.75965881,
"Macedonia, FYR",MKD,82.86734009,83.49443054,83.15183258,84.25034332,84.39498901,84.88421631,,84.71354675,83.85803223,82.99970245,83.50296021,,82.03431702,79.71652222,78.57904816,79.2940979,
Mali,MLI,17.29711914,,,21.90996933,23.74901962,25.55252075,27.38697052,29.93597984,33.30580139,36.19911957,38.77257919,40.6842308,,41.28958893,43.51115036,41.30747986,
